,City,lat,lng,Movehub.Rating,Purchase.Power,Health.Care,Pollution,Quality.of.Life,Crime.Rating,Sunny_days,Average_internet_Speed,D_1M,T_1M,Peace_Index_2020,Happiness_Index
191,San Francisco,37.7749295,-122.4194155,85.38,63.54,75.46,17.06,79.08,32.25,3061.7,21.3,236.386875,192576.118,1.905913295,6.141954286
192,Detroit,42.331427,-83.0457538,70.63,73.81,63.05,83.45,50.99,76.69,2435.9,21.3,236.386875,192576.118,1.905913295,6.141954286
193,Atlanta,33.7489954,-84.3879824,84.92,80.83,61.11,63.09,80.51,56.04,2738.3,21.3,236.386875,192576.118,1.905913295,6.141954286
194,Baltimore,39.2903848,-76.6121893,84.28,78.78,72.08,77.98,82,58.85,2581.7,21.3,236.386875,192576.118,1.905913295,6.141954286
195,New York,40.7127753,-74.0059728,90.53,55.56,51.39,12.01,61.94,47.33,2395.133333,21.3,236.386875,192576.118,1.905913295,6.141954286
196,Honolulu,21.3069444,-157.8583333,81.31,58.54,57.03,30.28,79.58,44.14,3035.9,21.3,236.386875,192576.118,1.905913295,6.141954286
197,New Orleans,29.9510658,-90.0715323,82.56,66.32,65.83,14.76,81.2,42.19,2648.9,21.3,236.386875,192576.118,1.905913295,6.141954286
198,Saint Louis,38.6270025,-90.1994042,85.25,80.4,77.29,31.33,87.51,78.13,2395.133333,21.3,236.386875,192576.118,1.905913295,6.141954286
199,Minneapolis,44.977753,-93.2650108,83.47,69.91,62.35,77.94,83.79,40.36,2710.7,21.3,236.386875,192576.118,1.905913295,6.141954286
200,Washington,47.7510741,-120.7401385,81.74,56.61,64.44,30.55,76.92,51.43,2395.133333,21.3,236.386875,192576.118,1.905913295,6.141954286
201,Seattle,47.6062095,-122.3320708,85.38,78.46,75.46,32.9,84.1,42.03,2169.7,21.3,236.386875,192576.118,1.905913295,6.141954286
202,Indianapolis,39.768403,-86.158068,84.52,80.72,36.66,82.08,77.13,30.21,2440.4,21.3,236.386875,192576.118,1.905913295,6.141954286
203,Dallas,32.7766642,-96.7969879,84.71,76.18,69.99,83.89,80.56,59.9,2849.7,21.3,236.386875,192576.118,1.905913295,6.141954286
204,Philadelphia,39.9525839,-75.1652215,83.31,68.77,54.17,38.64,65.53,68.58,2498.4,21.3,236.386875,192576.118,1.905913295,6.141954286
205,Phoenix,33.4483771,-112.0740373,86.37,80.54,64.9,38.77,82.55,41.41,3871.6,21.3,236.386875,192576.118,1.905913295,6.141954286
206,Rotterdam,51.9244201,4.4777326,80.68,50.9,63.26,20.36,67.77,74.27,2395.133333,21.3,236.386875,192576.118,1.905913295,6.141954286
207,Birmingham,33.5185892,-86.8103567,80.85,46.41,75.23,66.53,75.4,47.51,2395.133333,21.3,236.386875,192576.118,1.905913295,6.141954286
208,Charlotte,35.2270869,-80.8431267,84.46,77.18,72.08,67.05,84.39,30.21,2821,21.3,236.386875,192576.118,1.905913295,6.141954286
209,Miami,25.7616798,-80.1917902,84.43,57.79,64.44,22.45,74.77,64.85,3154,21.3,236.386875,192576.118,1.905913295,6.141954286
210,Rochester,43.1565779,-77.6088465,82.07,60.78,68.6,31.6,78.05,30.21,2395.133333,21.3,236.386875,192576.118,1.905913295,6.141954286
211,San Diego,32.715738,-117.1610838,83.29,71.37,67.22,32.64,80.18,39.55,3054.6,21.3,236.386875,192576.118,1.905913295,6.141954286
212,Chicago,41.8781136,-87.6297982,83.01,66.77,62.92,22.98,80.71,54.52,2508.4,21.3,236.386875,192576.118,1.905913295,6.141954286
213,Las Vegas,36.1699412,-115.1398296,84.88,80.46,66.52,59.73,60.5,70.57,3825.3,21.3,236.386875,192576.118,1.905913295,6.141954286
214,Montevideo,-34.9011127,-56.1645314,71.69,21.56,59.72,31.72,44.63,50.16,2481.4,21.59222798,15,80280,1.704,6.293
215,Caracas,10.4805937,-66.9036063,65.18,11.25,44.44,83.45,8.61,85.7,2506.9,21.59222798,26,70854,2.936,4.707
216,Hanoi,21.0277644,105.8341598,66.77,12.22,20.83,24.02,5.29,51.81,1585,14.1,0.4,12772,1.92,5.175
